,An.Dirus.M,An.Minimus.M,Cx.Quin.M,An.Dirus.F,An.Minimus.F,Cx.Quin.F,time(s)
0,0.074976355,0.01682057,0.06434327,0.07089862,0.096501015,0.039882008,0
1,0.048667077,0.08016959,0.047640804,0.11195369,0.38296542,0.010353958,1
2,0.089087546,0.036412034,0.02520901,0.014174111,0.09196089,0.04156663,2
3,0.03469423,0.030287923,0.011014775,0.0056675836,0.040905185,0.054774553,3
4,0.04588987,0.03854387,0.035237096,0.018051894,0.09089437,0.16033594,4
5,0.025409844,0.010609199,0.0097649405,0.0074352073,0.010423438,0.8544127,5
6,0.026406474,0.01329632,0.011330519,0.006468278,0.0076943333,0.89265287,6
7,0.02624989,0.0136718545,0.011880607,0.0050303442,0.005371921,0.8948395,7
8,0.014785408,0.00554034,0.033947688,0.040489282,0.06552481,0.013647185,8
9,0.014197939,0.016408164,0.06620216,0.32611507,0.17480464,0.013674066,9
10,0.013186252,0.004184254,0.016996196,0.0055195144,0.0124579165,0.8163349,10
11,0.012049902,0.0074378927,0.03248647,0.110161036,0.008080955,0.025822286,11
12,0.023388993,0.047947567,0.026111074,0.04644216,0.030970499,0.14011721,12
13,0.03459749,0.06581472,0.015408238,0.008179976,0.011530112,0.81950366,13
14,0.019633774,0.013605392,0.013353729,0.005084918,0.005425986,0.8565827,14
15,0.019574363,0.013616384,0.013384202,0.0051005636,0.005414634,0.85692793,15
16,0.019574238,0.013616429,0.013384094,0.0051005734,0.005414647,0.8569269,16
17,0.018793054,0.013086202,0.011543847,0.003563403,0.004385833,0.8148955,17
18,0.011798935,0.005527553,0.015478704,0.0058227633,0.006942963,0.76735806,18
19,0.01017835,0.009888634,0.02655551,0.007167572,0.008579768,0.7656697,19
20,0.04651066,0.051855326,0.025990037,0.04086597,0.06173479,0.1369101,20
21,0.55506915,0.041595057,0.021880196,0.0145793995,0.047654286,0.42831266,21
22,0.045197975,0.0126492055,0.01177063,0.008366413,0.017016267,0.8885285,22
23,0.025113955,0.010720422,0.013921703,0.009574544,0.011534046,0.8904914,23
24,0.030027242,0.013257392,0.01132117,0.009547415,0.011810538,0.8717522,24
25,0.014659591,0.005196913,0.013919498,0.005850155,0.0071634874,0.80791754,25
26,0.010998451,0.041678075,0.009174255,0.017432403,0.00784044,0.4092073,26
27,0.015097922,0.016308023,0.009655291,0.005502076,0.005635645,0.8110271,27
28,0.012144322,0.027836641,0.016400378,0.0053567146,0.005382773,0.7988302,28
29,0.0075205653,0.07066822,0.053598855,0.005175415,0.008871732,0.61731106,29
30,0.03396439,0.021444686,0.011259711,0.005761273,0.008364717,0.9111714,30
31,0.020790895,0.01575183,0.009515581,0.0026326578,0.0065344865,0.9006291,31
32,0.021875262,0.01605596,0.010830249,0.0038246799,0.008114416,0.92584825,32
33,0.024066195,0.018559564,0.009890654,0.00440652,0.007324904,0.93355066,33
34,0.023413299,0.019605322,0.010428544,0.0047358186,0.007909416,0.9325813,34
35,0.023993114,0.03168678,0.050064977,0.09367644,0.08614522,0.11724208,35
36,0.014577591,0.005589509,0.008695582,0.014041903,0.022230925,0.08599922,36
37,0.06124216,0.031935114,0.012357574,0.0051405476,0.013347409,0.81582505,37
38,0.03503162,0.01227423,0.010685876,0.004818797,0.010825258,0.83936435,38
39,0.015325845,0.02242262,0.03523079,0.0072511393,0.0063287723,0.84701025,39
40,0.008540106,0.006352593,0.0032843845,0.01491973,0.009502551,0.016332872,40
41,0.028954662,0.017818788,0.008412106,0.0045000394,0.010371475,0.93219584,41
42,0.028852958,0.01781727,0.008411112,0.004504057,0.010335851,0.9323542,42
43,0.028662113,0.017716363,0.008422092,0.0044988026,0.010298892,0.9324407,43
44,0.01793029,0.0043428275,0.01177786,0.054781757,0.016337108,0.0963627,44
45,0.03141262,0.012890909,0.010779807,0.017789287,0.004067649,0.05439886,45
46,0.013799639,0.01808057,0.009799476,0.005367472,0.0057804356,0.7964871,46
47,0.0136696175,0.015496504,0.007631279,0.003694313,0.004639831,0.74098456,47
48,0.013697193,0.016553061,0.008482476,0.004272981,0.0050429706,0.76414794,48
49,0.01378482,0.017469572,0.009843018,0.0055418015,0.0061323326,0.79493034,49
50,0.8346421,0.011609984,0.039145835,0.01148723,0.018305074,0.029636417,50
51,0.31284717,0.024978416,0.046716165,0.4003624,0.025653837,0.1084677,51
52,0.032386426,0.06543167,0.015377474,0.21576889,0.002104966,0.027132995,52
53,0.0043270686,0.002260516,0.005162162,0.0398928,0.0027052485,0.0032806527,53
54,0.030381056,0.012275525,0.0014028096,0.050532438,0.0037337788,0.027030814,54
55,0.09325221,0.05239946,0.022140432,0.18019445,0.21425332,0.065997645,55
56,0.36214682,0.055765904,0.046987962,0.014404151,0.10859467,0.02963645,56
57,0.7774861,0.037372116,0.070928864,0.010888293,0.04947215,0.21078683,57
58,0.13180864,0.009519208,0.107220225,0.024442583,0.025039695,0.14111696,58
59,0.054677244,0.009526534,0.74245244,0.009348791,0.013027006,0.0478243,59
60,0.05892801,0.038761932,0.046302073,0.11248109,0.03776682,0.13635981,60
61,0.5366546,0.04761713,0.022032212,0.19036518,0.039375234,0.060750026,61
62,0.1605345,0.015166932,0.02439982,0.098253705,0.06207513,0.017309364,62
63,0.37819204,0.014675317,0.0105197765,0.016725065,0.011670251,0.010082288,63
64,0.2366952,0.06576871,0.0058560926,0.010159131,0.033739742,0.036156707,64
65,0.8807612,0.06314467,0.02024539,0.011560372,0.023099445,0.030468734,65
66,0.26438397,0.019054981,0.0082314955,0.020365639,0.014796283,0.0058868956,66
67,0.14101459,0.02562249,0.0110086845,0.36901957,0.044930764,0.009075899,67
68,0.10094352,0.0075792316,0.029336732,0.02893188,0.011465884,0.007562819,68
69,0.17517257,0.032621782,0.008444269,0.014891541,0.009940448,0.014565698,69
70,0.31672493,0.012520143,0.011604356,0.09065625,0.006698436,0.08038533,70
71,0.21284184,0.024087,0.005410789,0.020180255,0.008301587,0.049952723,71
