,Ae.Aegypti.M,Ae.Albopictus.M,Cx.Quin.M,Ae.Aegypti.F,Ae.Albopictus.F,Cx.Quin.F,time(s)
0,0.039056078,0.056046877,0.045805026,0.025025975,0.117094114,0.037070002,0
1,0.052268118,0.17942597,0.056345996,0.017978488,0.06069278,0.025564136,1
2,0.027479267,0.10955446,0.05968835,0.01973422,0.04530387,0.06185035,2
3,0.021442859,0.11765918,0.12050481,0.014823771,0.10740662,0.072479606,3
4,0.012348516,0.05176231,0.053412758,0.05978275,0.083697066,0.18237415,4
5,0.012076924,0.011983876,0.028388955,0.12694193,0.03849576,0.730207,5
6,0.009372545,0.016429227,0.020810358,0.06603372,0.018188577,0.77975005,6
7,0.009720504,0.015412168,0.021599663,0.06741178,0.01637338,0.78058726,7
8,0.022058267,0.012029636,0.1111985,0.02384848,0.019661633,0.19115539,8
9,0.019053966,0.03467162,0.08690271,0.020284113,0.16992576,0.028395997,9
10,0.020208612,0.010597543,0.020498749,0.20063017,0.03687442,0.53870106,10
11,0.032965247,0.026151186,0.029119309,0.14009485,0.033140145,0.15228395,11
12,0.033472355,0.043451592,0.042493567,0.05225983,0.02579816,0.07132282,12
13,0.056031086,0.025970628,0.009044805,0.45216012,0.06902494,0.20454893,13
14,0.04059967,0.011325857,0.016158065,0.30943206,0.027859299,0.40238386,14
15,0.019748492,0.00714422,0.01646,0.14547046,0.016177392,0.5485157,15
16,0.020754134,0.011060148,0.0124892,0.23444791,0.01762771,0.37316552,16
17,0.010431787,0.009691277,0.016507339,0.07327865,0.011932741,0.694988,17
18,0.01130096,0.010789067,0.018366544,0.07151929,0.0137515785,0.6840729,18
19,0.01880514,0.01844244,0.020806143,0.099043936,0.011063925,0.59283143,19
20,0.04097882,0.017726324,0.12834005,0.065521255,0.060899246,0.2772893,20
21,0.02138236,0.026478851,0.09880031,0.024390528,0.07245662,0.26591215,21
22,0.012462575,0.0122015225,0.032530688,0.08033733,0.026860429,0.72764575,22
23,0.014725873,0.0075606434,0.030888028,0.09398027,0.030003794,0.61676484,23
24,0.011570337,0.01223101,0.02950685,0.079138964,0.024360906,0.7340132,24
25,0.010674354,0.017208979,0.02762303,0.059163015,0.02001346,0.7472235,25
26,0.018436335,0.18978462,0.05650681,0.020983784,0.032727413,0.2839279,26
27,0.008921481,0.013655538,0.022083964,0.06250442,0.017250562,0.7643525,27
28,0.008922872,0.01365778,0.022086605,0.062503755,0.017249897,0.7643432,28
29,0.008278446,0.019016417,0.020508997,0.056638286,0.023983067,0.7449046,29
30,0.011293397,0.022083398,0.019790547,0.08176854,0.017986136,0.7370677,30
31,0.01251799,0.012436189,0.020072004,0.08435657,0.022734946,0.7319309,31
32,0.0118676005,0.011963624,0.020190086,0.07969982,0.02280578,0.7372669,32
33,0.017037986,0.009896237,0.010624877,0.23010255,0.03111007,0.38871583,33
34,0.040508144,0.009413466,0.014382295,0.51279384,0.043090165,0.16642962,34
35,0.0793262,0.012883307,0.036642037,0.17901088,0.028007802,0.08287371,35
36,0.04213487,0.02159171,0.02914667,0.15747696,0.049860675,0.046261664,36
37,0.017110424,0.01163585,0.011387475,0.23803456,0.02992831,0.44471914,37
38,0.0687758,0.010445717,0.012449262,0.5686623,0.0543146,0.13764721,38
39,0.17168835,0.03773215,0.042213,0.3877832,0.026720677,0.24627694,39
40,0.021628415,0.026144898,0.17422874,0.00548822,0.012548761,0.073566325,40
41,0.079716414,0.020321315,0.16547003,0.13509335,0.02484731,0.47321776,41
42,0.009643598,0.015303775,0.020912243,0.0686949,0.016251018,0.78517455,42
43,0.009642228,0.015309085,0.02092167,0.06868042,0.016257111,0.7852655,43
44,0.022432027,0.0292551,0.07253412,0.04121012,0.029135,0.3825528,44
45,0.0112990625,0.02277681,0.05573445,0.038621165,0.047193546,0.21750844,45
46,0.00931858,0.014370343,0.023144042,0.06168984,0.016973682,0.7619002,46
47,0.0089326855,0.013614758,0.022033496,0.063369386,0.017541956,0.7634969,47
48,0.006200743,0.016032629,0.014734816,0.0738948,0.01977431,0.67261374,48
49,0.009797389,0.015419296,0.024815157,0.060808375,0.020098647,0.7521161,49
50,0.14197974,0.06687204,0.3175116,0.0101246275,0.009016546,0.017659703,50
51,0.19355014,0.302687,0.31210408,0.058913946,0.100498706,0.09874042,51
52,0.2043221,0.29228213,0.11114445,0.088529095,0.068769805,0.0854881,52
53,0.019869916,0.05759139,0.028249543,0.017100547,0.04453713,0.015370104,53
54,0.017531604,0.022412777,0.021436661,0.011226873,0.011954429,0.0060286005,54
55,0.07323135,0.32183954,0.37493786,0.0056938543,0.03588016,0.026178978,55
56,0.101497084,0.4909599,0.159645,0.008943794,0.029130884,0.045519635,56
57,0.15224464,0.1987882,0.40823323,0.011257663,0.015645655,0.018822504,57
58,0.23992704,0.23607837,0.27059138,0.028284919,0.036154304,0.031751446,58
59,0.09339269,0.54593956,0.13094695,0.0064333826,0.01611709,0.06305874,59
60,0.043586068,0.07638013,0.32904172,0.0064569497,0.05621794,0.035179302,60
61,0.06644761,0.07609315,0.5448429,0.0047678896,0.024795324,0.03838563,61
62,0.024099698,0.2424556,0.092011504,0.0035840026,0.053611323,0.009874442,62
63,0.105913565,0.24095498,0.4240147,0.007395078,0.0097840745,0.041245855,63
64,0.05591716,0.03562536,0.15432443,0.015012266,0.015344117,0.018321685,64
65,0.14335632,0.4062412,0.20292541,0.0096564265,0.014658867,0.035198666,65
66,0.090789616,0.13888784,0.4651179,0.005651279,0.017567737,0.024672445,66
67,0.09876304,0.14665414,0.55528235,0.0053528845,0.054099757,0.0315851,67
68,0.06776967,0.19232775,0.30913055,0.014504487,0.09158918,0.058952425,68
69,0.08361858,0.1044589,0.41512555,0.006672069,0.015978567,0.017430704,69
70,0.08996525,0.35585815,0.051635593,0.017361725,0.07374692,0.012930176,70
71,0.03419608,0.28033942,0.09787132,0.015393501,0.05841798,0.04451428,71
72,0.032463826,0.29627421,0.06406965,0.012757999,0.045737308,0.036287412,72
73,0.021555183,0.08629426,0.022583485,0.026822982,0.10708193,0.025335697,73
74,0.020487389,0.07059125,0.02447962,0.024205955,0.08363736,0.025711767,74
75,0.019821068,0.045488346,0.034671392,0.013363979,0.013764324,0.031811763,75
