,Ae.Aegypti.M,Ae.Albopictus.M,Cx.Quin.M,Ae.Aegypti.F,Ae.Albopictus.F,Cx.Quin.F,time(s)
0,0.13679941,0.06020954,0.588615,0.011935823,0.048957672,0.058976676,0
1,0.052553814,0.033943802,0.35913572,0.019064855,0.05216865,0.123013005,1
2,0.012498354,0.023251627,0.045634866,0.12660104,0.29507124,0.14083998,2
3,0.06342502,0.09945304,0.01587342,0.455339,0.26309973,0.119525395,3
4,0.0269605,0.037112962,0.015195248,0.1277927,0.47165954,0.018114964,4
5,0.031974994,0.03421093,0.034327183,0.037619088,0.18942285,0.027701737,5
6,0.11877959,0.13693786,0.16526422,0.022424657,0.021636141,0.06851144,6
7,0.058213226,0.07956843,0.13276649,0.01490026,0.028952967,0.10836787,7
8,0.048797928,0.028605422,0.09370576,0.041176718,0.030177828,0.056655843,8
9,0.0072672004,0.011631683,0.008354246,0.010255259,0.006975323,0.016574427,9
10,0.007944234,0.01893965,0.014770552,0.012834982,0.01985943,0.029944604,10
11,0.005347145,0.008123721,0.007835286,0.006888699,0.009239108,0.008142131,11
12,0.015478871,0.077793315,0.037472717,0.007630481,0.037949096,0.026113361,12
13,0.014819649,0.18051876,0.05436436,0.013425457,0.10686505,0.05788257,13
14,0.008787885,0.020321164,0.028891275,0.008731981,0.019478703,0.020136032,14
15,0.009798957,0.022648226,0.038868994,0.010086759,0.026455056,0.026050825,15
16,0.045319118,0.048256695,0.02787487,0.05089752,0.067998886,0.024731463,16
17,0.04337867,0.050944116,0.024021039,0.076840155,0.048758246,0.036377966,17
18,0.057614245,0.0108872,0.0053339615,0.58703375,0.110201545,0.035494216,18
19,0.09955889,0.027524538,0.011204778,0.4505056,0.18259329,0.02876348,19
20,0.014877341,0.065977134,0.09097088,0.0068559004,0.046258733,0.019105304,20
21,0.01191698,0.11137614,0.107791774,0.004994354,0.06708582,0.02880147,21
22,0.014087973,0.15418121,0.024299134,0.012957659,0.05453769,0.03928152,22
23,0.011929312,0.050668,0.13405898,0.008346543,0.13378666,0.022609115,23
24,0.020847382,0.05250969,0.19658777,0.0063582757,0.09707556,0.022052584,24
25,0.021307673,0.10491575,0.15837242,0.0065016914,0.14599311,0.01499839,25
26,0.063082546,0.040288366,0.053946298,0.070034675,0.35644862,0.009106474,26
27,0.014058517,0.027809117,0.01788965,0.0595367,0.7809577,0.015483966,27
28,0.00570647,0.018237932,0.012177809,0.010834279,0.07419637,0.008462547,28
29,0.007067967,0.01440051,0.01959353,0.006797828,0.04571307,0.012355521,29
30,0.0070368424,0.008841913,0.01010118,0.0069576087,0.009598077,0.009127587,30
31,0.0050148177,0.007685378,0.0072568427,0.009374985,0.012934389,0.01117312,31
32,0.010970731,0.020400528,0.01617613,0.037598133,0.1511798,0.08751926,32
33,0.03822718,0.050697573,0.012812311,0.065928005,0.14371282,0.040991466,33
34,0.021840993,0.054623105,0.018492248,0.030946674,0.061983068,0.031886503,34
35,0.016252581,0.03506182,0.056982916,0.018180203,0.04705726,0.035632685,35
36,0.03827165,0.059854258,0.032744095,0.030321322,0.07348649,0.03863737,36
37,0.022597963,0.047826122,0.02104822,0.038666498,0.06235314,0.033987563,37
38,0.02493656,0.054893278,0.020491399,0.03428949,0.061350312,0.038284816,38
39,0.010912404,0.077246666,0.014406995,0.0103199575,0.023840435,0.01706831,39
40,0.0075885984,0.012401181,0.036411423,0.022646977,0.32961106,0.020975735,40
41,0.00929332,0.009328027,0.07014078,0.018707175,0.09227421,0.012596199,41
42,0.00763436,0.012594267,0.022566024,0.038528036,0.21493669,0.028361326,42
43,0.01918395,0.041618094,0.015385353,0.08911206,0.7507248,0.014762516,43
44,0.011984834,0.02224292,0.0142351,0.062322263,0.7089033,0.01729524,44
45,0.0063777845,0.004951746,0.015123666,0.028306717,0.03827007,0.012040148,45
46,0.0056917006,0.0062233154,0.020976098,0.07061076,0.067371055,0.087733716,46
47,0.06525836,0.013278398,0.0059934515,0.7051995,0.13415688,0.052720845,47
48,0.028563097,0.025507221,0.013288848,0.455434,0.5397281,0.06840861,48
49,0.013675951,0.027193004,0.014529721,0.068838775,0.73091716,0.019038519,49
50,0.0052986774,0.010324673,0.012933799,0.018424813,0.101354174,0.02320971,50
51,0.05919782,0.019532539,0.006598062,0.46341354,0.26404113,0.034055438,51
52,0.014522055,0.017981477,0.0118688755,0.107924946,0.68402725,0.016663095,52
53,0.013760506,0.027157035,0.017502021,0.060497835,0.7816918,0.015723355,53
54,0.012859335,0.024738036,0.015910648,0.061199725,0.7541395,0.016339898,54
55,0.01378674,0.027165323,0.017516358,0.06023235,0.78169614,0.01564561,55
56,0.01070113,0.010840545,0.031837076,0.029316995,0.2876585,0.008967892,56
57,0.0051418226,0.007265178,0.013020766,0.0071036965,0.01744269,0.008659237,57
58,0.017947558,0.017575946,0.084296234,0.012957842,0.087857194,0.010080466,58
59,0.014333176,0.017738467,0.102437034,0.013614662,0.09905428,0.011996749,59
60,0.008410638,0.00734857,0.013245164,0.0091461195,0.015162081,0.007845364,60
61,0.0057866154,0.0072955154,0.0086793415,0.009898741,0.014913943,0.010622933,61
62,0.09329919,0.03609255,0.07038494,0.050386637,0.048633013,0.009628491,62
63,0.07629834,0.08877912,0.04934995,0.042659655,0.07044227,0.010063203,63
64,0.09606077,0.302136,0.029779762,0.043276414,0.14656922,0.011087103,64
65,0.04421674,0.1698306,0.16752774,0.018883198,0.36678433,0.026859855,65
66,0.012156712,0.0850262,0.030867828,0.0053874208,0.022384271,0.014353191,66
67,0.010199788,0.013605034,0.018340629,0.011499989,0.017565541,0.01210002,67
68,0.0057968018,0.018492863,0.00917573,0.013008553,0.035459302,0.015944427,68
69,0.0047448957,0.010063877,0.012545824,0.0059395717,0.007974716,0.015379256,69
70,0.01000996,0.014866939,0.035777703,0.013276748,0.04418322,0.026164452,70
71,0.0061371615,0.019658487,0.018827774,0.005564658,0.015597127,0.01585439,71
72,0.006861773,0.012022791,0.006785023,0.012303064,0.03506713,0.013666294,72
73,0.013591199,0.052668717,0.0113045145,0.026094304,0.085630186,0.032239374,73
74,0.017279709,0.118053004,0.009379742,0.0490387,0.0814365,0.053996097,74
75,0.04346079,0.070953295,0.0065893847,0.24674664,0.27520862,0.04245856,75
76,0.032276195,0.042440243,0.0056435727,0.2576276,0.18269731,0.0401829,76
77,0.019085255,0.045164876,0.0072732638,0.09931527,0.13095172,0.029457003,77
78,0.01541336,0.031980917,0.01622349,0.0685621,0.7668009,0.018429268,78
79,0.017390927,0.03491411,0.017960843,0.06337294,0.6874798,0.017084733,79
80,0.017379377,0.01893109,0.032185804,0.034665126,0.37438136,0.027379919,80
81,0.017320212,0.032893132,0.02155751,0.053538077,0.6678041,0.016423218,81
82,0.018922798,0.03258396,0.024637204,0.054292373,0.71101505,0.014779624,82
83,0.013802386,0.027278064,0.01771201,0.059621274,0.78103405,0.015643783,83
84,0.014345349,0.024839407,0.02328572,0.06486998,0.7122821,0.0194726,84
85,0.010241025,0.030891182,0.01914376,0.04555785,0.71605176,0.017568175,85
86,0.027927669,0.07801329,0.059885412,0.015549056,0.32157624,0.01499572,86
87,0.03157062,0.049360555,0.04371239,0.027110964,0.25515813,0.008768318,87
88,0.0063130725,0.010253353,0.008791993,0.009313008,0.011919222,0.011543379,88
89,0.0055928067,0.013909069,0.009955375,0.009529793,0.016576191,0.022615595,89
90,0.020865241,0.029842831,0.026972897,0.022391615,0.09452635,0.037677195,90
91,0.03584251,0.025603088,0.045622345,0.023464562,0.03567089,0.03669114,91
92,0.12254683,0.06643531,0.04781652,0.035140846,0.031467803,0.02257172,92
93,0.23789367,0.09208079,0.16710378,0.029264715,0.02015131,0.02731691,93
94,0.043780245,0.048877526,0.045598164,0.03211152,0.07305045,0.030361008,94
95,0.036432777,0.05477286,0.032056425,0.028955268,0.05973485,0.040820606,95
96,0.032273293,0.05260908,0.030509412,0.021536702,0.036193192,0.052721318,96
97,0.0179608,0.060503043,0.023520257,0.018085869,0.03602513,0.053342897,97
98,0.06798213,0.05366929,0.0127131,0.23375641,0.2287405,0.017868878,98
99,0.0650107,0.057511844,0.013962694,0.34858808,0.35084176,0.025906222,99
100,0.036081754,0.11349887,0.009678051,0.12426961,0.36111346,0.020123562,100
101,0.013784406,0.027140561,0.017507967,0.059904244,0.78158665,0.015580692,101
102,0.016271811,0.032732014,0.020619607,0.05864455,0.76363474,0.014943338,102
103,0.013798712,0.02719104,0.017535137,0.0598869,0.78211385,0.015561709,103
104,0.0116131045,0.021571165,0.013823244,0.063134246,0.7096315,0.01753019,104
105,0.015443783,0.031017391,0.033670615,0.040680967,0.67582166,0.010533204,105
106,0.005280457,0.012821239,0.019839784,0.005211298,0.024864113,0.0096852835,106
107,0.005664733,0.027893683,0.011855473,0.008737183,0.024815869,0.031671606,107
108,0.00591798,0.04607645,0.012600626,0.010893517,0.049288534,0.036892224,108
109,0.0041791433,0.036343668,0.01179411,0.006066751,0.03021896,0.023117537,109
110,0.00752284,0.011871604,0.011376775,0.005971266,0.0078123696,0.007189437,110
111,0.00499417,0.0077716885,0.007349823,0.008838909,0.012422586,0.010837407,111
112,0.004025058,0.013530088,0.007730339,0.010361974,0.03341611,0.025638059,112
113,0.0073442725,0.019870307,0.0059746383,0.015055946,0.014506702,0.012531029,113
114,0.008192938,0.009896615,0.00840114,0.024476055,0.034782037,0.010237803,114
115,0.015263853,0.030909285,0.016936876,0.06762972,0.77338016,0.014833935,115
116,0.011920806,0.027988745,0.017972663,0.016498432,0.23549412,0.0044152015,116
117,0.0053483825,0.008757897,0.012185578,0.0061975704,0.016580453,0.00778722,117
118,0.0054102805,0.008231176,0.007926062,0.0066112205,0.008779823,0.007769409,118
119,0.005417385,0.008238896,0.007933309,0.006653235,0.008722047,0.007907883,119
120,0.010502045,0.034035306,0.028069494,0.013956997,0.044306483,0.025734652,120
121,0.010831188,0.022811163,0.033695344,0.0069094407,0.021169536,0.014677406,121
122,0.021370867,0.029187417,0.042115536,0.015134708,0.032456286,0.07730611,122
123,0.020203834,0.03464367,0.023048183,0.023557814,0.04453078,0.03929383,123
124,0.026149157,0.033176493,0.028491184,0.036096964,0.02728116,0.097518824,124
125,0.02543883,0.05217791,0.021937748,0.04554671,0.05377535,0.09366796,125
126,0.013423689,0.08834513,0.013816477,0.01965669,0.021930294,0.06550354,126
127,0.03455224,0.22275873,0.063096054,0.013898902,0.05149826,0.042458378,127
128,0.011670362,0.10496961,0.052939635,0.012332523,0.06473447,0.050465077,128
129,0.0064957957,0.03327652,0.030050602,0.011780013,0.0291202,0.043981213,129
130,0.009117711,0.02025348,0.05100002,0.01779095,0.062133804,0.063199036,130
131,0.016206512,0.019364338,0.10193173,0.008631882,0.0570373,0.03602031,131
132,0.029767048,0.018641287,0.24385726,0.021248225,0.048369292,0.09470548,132
133,0.25411534,0.034717955,0.16499412,0.14237791,0.029667893,0.11761817,133
134,0.12994486,0.037842236,0.14889064,0.051884543,0.025668286,0.07595572,134
135,0.09809915,0.03244506,0.08377095,0.045942854,0.052932654,0.04962612,135
136,0.14463554,0.051723536,0.1314584,0.053920034,0.040090498,0.0824676,136
137,0.061650395,0.028338144,0.06090655,0.03718134,0.040473767,0.042563606,137
138,0.03426166,0.09043687,0.04281248,0.015031902,0.04668023,0.08962947,138
139,0.02090806,0.016284136,0.14699662,0.010592225,0.027534598,0.02149335,139
140,0.05125173,0.03134956,0.060067344,0.02169707,0.08753535,0.023769528,140
141,0.053015277,0.026490081,0.30712497,0.006780214,0.014517006,0.021224586,141
142,0.10212412,0.05461868,0.562765,0.0073045795,0.024029987,0.034388684,142
143,0.023398856,0.028076364,0.18161824,0.013605666,0.08127645,0.026069412,143
144,0.021101758,0.145176,0.14131035,0.008411768,0.11053333,0.06179351,144
145,0.017933615,0.041573357,0.07013785,0.01830471,0.13062924,0.072529465,145
146,0.011343796,0.06343736,0.035292905,0.01801687,0.16189979,0.048374318,146
147,0.009837759,0.046318986,0.04848287,0.013524285,0.09770398,0.042101514,147
148,0.011996563,0.06418884,0.04308053,0.013945845,0.121554196,0.030761007,148
149,0.006710118,0.022686284,0.03397131,0.008943719,0.039507665,0.029804481,149
150,0.008739711,0.027460298,0.05049255,0.015036217,0.05834153,0.0535061,150
151,0.018057289,0.06455849,0.038474895,0.015784917,0.045004107,0.029187223,151
152,0.016987681,0.12020387,0.036655255,0.022866858,0.047470734,0.09582956,152
153,0.016651316,0.08886924,0.026348809,0.02360435,0.055963248,0.06944351,153
154,0.01992825,0.071932524,0.03632779,0.03532984,0.069234096,0.103127755,154
155,0.028704321,0.06402045,0.02243515,0.023925098,0.042765763,0.042954553,155
156,0.022090992,0.12921317,0.011884768,0.037336074,0.018574381,0.090148516,156
157,0.01328501,0.056264233,0.01154066,0.040836975,0.029460363,0.08093975,157
158,0.051870085,0.16057107,0.113776594,0.009249538,0.02371934,0.018975848,158
159,0.008178389,0.018290898,0.009710228,0.013348528,0.013958323,0.022610545,159
160,0.0053599672,0.013057197,0.006507472,0.013341401,0.030425316,0.012824347,160
161,0.013428494,0.063301004,0.016607976,0.015505912,0.041699763,0.105203986,161
162,0.041196477,0.40973204,0.019461062,0.034969285,0.09833688,0.039179135,162
163,0.024955923,0.3778852,0.015090081,0.026321938,0.028863508,0.023207996,163
