,An.Dirus.M,An.Minimus.M,Cx.Quin.M,An.Dirus.F,An.Minimus.F,Cx.Quin.F,time(s)
0,0.060588747,0.050714754,0.004784743,0.024892306,0.072695434,0.10498917,0
1,0.081468076,0.0316921,0.0124278115,0.085665114,0.11035096,0.02818638,1
2,0.09073888,0.04499092,0.076427825,0.7608396,0.090564616,0.010278668,2
3,0.020324765,0.09359929,0.042471167,0.6163517,0.04853118,0.0063438886,3
4,0.017328199,0.030627163,0.008825275,0.7815029,0.011994698,0.0060084127,4
5,0.030487075,0.031373236,0.0074799927,0.27832872,0.011493481,0.008086234,5
6,0.01176677,0.032625996,0.025788577,0.6515805,0.04873313,0.0059108557,6
7,0.057926286,0.011878879,0.014962743,0.5896455,0.14138483,0.0027295176,7
8,0.07186046,0.008505293,0.02453776,0.53608316,0.09970528,0.007826346,8
9,0.021022234,0.009532911,0.012196449,0.82056963,0.024898978,0.009541925,9
10,0.06863213,0.056845505,0.06605313,0.1416939,0.043548256,0.04451683,10
11,0.030799227,0.028777735,0.020586383,0.078502655,0.014159687,0.014110548,11
12,0.027753068,0.04088894,0.011300395,0.063867606,0.27569482,0.005788715,12
13,0.047112823,0.07201276,0.036479317,0.04613726,0.13194652,0.012396214,13
14,0.018011102,0.018680478,0.03145767,0.03204345,0.26136878,0.010234044,14
15,0.008935142,0.03856514,0.011190598,0.03180425,0.30002844,0.009757215,15
16,0.005621934,0.015045964,0.005569513,0.02326786,0.82470036,0.007730025,16
17,0.025620865,0.004484766,0.019272473,0.04183965,0.7893029,0.0021923452,17
18,0.019133072,0.034991093,0.016198091,0.16348965,0.699557,0.0094632525,18
19,0.011036254,0.013698907,0.03497172,0.0214575,0.04791556,0.018402625,19
20,0.037853055,0.0054223044,0.02765572,0.8708279,0.10709107,0.02017056,20
21,0.0023118882,0.022882814,0.0074729766,0.7958723,0.01475426,0.016666157,21
22,0.0024636725,0.010249671,0.0029040608,0.45235267,0.013648552,0.012338506,22
23,0.0051355506,0.0095774215,0.013895654,0.8551203,0.015544452,0.0082429405,23
24,0.009927392,0.013917422,0.005608034,0.062963635,0.5697112,0.019502452,24
25,0.0073904814,0.0065729865,0.034818612,0.008643982,0.0052879686,0.029194612,25
26,0.004900876,0.004408129,0.0084369425,0.02463072,0.0059024896,0.012787545,26
27,0.0282033,0.013080144,0.007429748,0.9122818,0.0316563,0.00771914,27
28,0.04554987,0.0053672735,0.014166312,0.35036924,0.01855344,0.010919422,28
29,0.0063893264,0.0073601864,0.024495756,0.9293124,0.026190944,0.009457744,29
30,0.055432964,0.0017022532,0.002877787,0.22401027,0.03833881,0.010427167,30
31,0.024046907,0.051694233,0.015358202,0.0052440804,0.24636692,0.0062640137,31
32,0.006640729,0.009732358,0.011380191,0.04561222,0.8457386,0.008538274,32
33,0.06463311,0.012408899,0.00653549,0.5753807,0.041414086,0.008354048,33
34,0.0032139856,0.0052766693,0.006348131,0.0314467,0.009818357,0.013529659,34
35,0.0185165,0.0028594122,0.01058187,0.067260586,0.6763538,0.008504972,35
36,0.008753842,0.009569237,0.0063981414,0.84693426,0.068038456,0.0053335787,36
37,0.03308974,0.007001116,0.016207013,0.5859601,0.024591383,0.15885562,37
38,0.0042413617,0.014554457,0.009092381,0.9236712,0.02783908,0.010732742,38
39,0.005613908,0.017353266,0.054292776,0.4885575,0.05208669,0.009553442,39
40,0.005893625,0.013218611,0.014796143,0.9530747,0.040173102,0.025534099,40
41,0.007228054,0.007972955,0.0132605545,0.91756874,0.009401654,0.010332594,41
42,0.021273185,0.011923823,0.011387494,0.43704602,0.0143366195,0.011312143,42
43,0.0071744765,0.0016214998,0.014902003,0.032560576,0.023309167,0.01531271,43
44,0.018430356,0.010759923,0.01731982,0.033823576,0.036487345,0.031745158,44
45,0.015573088,0.00395401,0.0062874914,0.0108457105,0.009809298,0.012183254,45
46,0.024506023,0.0039420277,0.01396402,0.05608563,0.01927714,0.010025709,46
47,0.054569155,0.0029933853,0.014479697,0.019359512,0.17787738,0.005023008,47
48,0.020262007,0.0021455025,0.0077273333,0.05875472,0.04334189,0.0047639953,48
49,0.0141676115,0.002128731,0.014070445,0.006227398,0.029142061,0.009861819,49
50,0.08179897,0.019316738,0.06880394,0.07225791,0.06455858,0.08728551,50
51,0.03426959,0.017269235,0.029859234,0.058264185,0.09950003,0.05026804,51
52,0.12281824,0.15419227,0.021923222,0.026895333,0.116627604,0.05459865,52
53,0.035057046,0.030005889,0.053136054,0.04697637,0.11322164,0.06665461,53
54,0.041453224,0.012314497,0.014543587,0.03993874,0.06665414,0.022044392,54
